decision_id,assignment_rank,is_primary,parse_status,isic_code,isic_level,description,section,section_description,division,division_description,group,group_description,reference_version,source_token
Netherlands_21,1,1,MATCHED,9412,CLASS,Activities of professional membership organizations,S,Other service activities,94,Activities of membership organizations,941,"Activities of business, employers and professional membership organizations",3de77d05ace5,9412
Netherlands_23,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Netherlands_20,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Netherlands_25,1,1,MATCHED,3811,CLASS,Collection of non-hazardous waste,E,"Water supply; sewerage, waste management and remediation activities",38,"Waste collection, treatment and disposal activities; materials recovery",381,Waste collection,3de77d05ace5,3811
Netherlands_24,1,1,MATCHED,25,DIVISION,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,25,"Manufacture of fabricated metal products, except machinery and equipment",,,3de77d05ace5,25
Netherlands_26,1,1,MATCHED,9319,CLASS,Other sports activities,R,"Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,931,Sports activities,3de77d05ace5,9319
Netherlands_28,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Netherlands_27,1,1,MATCHED,O,SECTION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,,,,,3de77d05ace5,O
Netherlands_30,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Netherlands_29,1,1,MATCHED,49,DIVISION,Land transport and transport via pipelines,H,Transportation and storage,49,Land transport and transport via pipelines,,,3de77d05ace5,49
Netherlands_31,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Netherlands_32,1,1,MATCHED,6399,CLASS,Other information service activities n.e.c.,J,Information and communication,63,Information service activities,639,Other information service activities,3de77d05ace5,6399
Netherlands_34,1,1,MATCHED,46,DIVISION,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,46,"Wholesale trade, except of motor vehicles and motorcycles",,,3de77d05ace5,46
Netherlands_33,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Netherlands_37,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Netherlands_35,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Netherlands_36,1,1,MATCHED,7810,CLASS,Activities of employment placement agencies,N,Administrative and support service activities,78,Employment activities,781,Activities of employment placement agencies,3de77d05ace5,7810
Netherlands_38,1,1,MATCHED,8292,CLASS,Packaging activities,N,Administrative and support service activities,82,"Office administrative, office support and other business support activities",829,Business support service activities n.e.c.,3de77d05ace5,8292
Malta_1,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Malta_5,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Netherlands_39,1,1,MATCHED,3811,CLASS,Collection of non-hazardous waste,E,"Water supply; sewerage, waste management and remediation activities",38,"Waste collection, treatment and disposal activities; materials recovery",381,Waste collection,3de77d05ace5,3811
Malta_11,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Malta_7,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Malta_10,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Malta_9,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Malta_12,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_1,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Malta_13,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_3,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_4,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_7,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_5,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_8,1,1,MATCHED,6820,CLASS,Real estate activities on a fee or contract basis,L,Real estate activities,68,Real estate activities,682,Real estate activities on a fee or contract basis,3de77d05ace5,6820
Luxembourg_9,1,1,MATCHED,49,DIVISION,Land transport and transport via pipelines,H,Transportation and storage,49,Land transport and transport via pipelines,,,3de77d05ace5,49
Luxembourg_13,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_10,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_12,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_11,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Luxembourg_14,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Luxembourg_15,1,1,MATCHED,649,GROUP,"Other financial service activities, except insurance and pension funding activities",K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",649,"Other financial service activities, except insurance and pension funding activities",3de77d05ace5,649
Luxembourg_16,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_17,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_21,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_20,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_18,1,1,MATCHED,4921,CLASS,Urban and suburban passenger land transport,H,Transportation and storage,49,Land transport and transport via pipelines,492,Other land transport,3de77d05ace5,4921
Luxembourg_25,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Luxembourg_23,1,1,MATCHED,1071,CLASS,Manufacture of bakery products,C,Manufacturing,10,Manufacture of food products,107,Manufacture of other food products,3de77d05ace5,1071
Lithuania_2,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Luxembourg_24,1,1,MATCHED,6512,CLASS,Non-life insurance,K,Financial and insurance activities,65,"Insurance, reinsurance and pension funding, except compulsory social security",651,Insurance,3de77d05ace5,6512
Luxembourg_22,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Lithuania_4,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Lithuania_7,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Lithuania_9,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Lithuania_3,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Lithuania_10,1,1,MATCHED,9311,CLASS,Operation of sports facilities,R,"Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,931,Sports activities,3de77d05ace5,9311
Lithuania_8,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Lithuania_11,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Lithuania_12,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Latvia_3,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
Latvia_1,1,1,MATCHED,7420,CLASS,Photographic activities,M,"Professional, scientific and technical activities",74,"Other professional, scientific and technical activities",742,Photographic activities,3de77d05ace5,7420
Latvia_6,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Latvia_4,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Latvia_9,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Latvia_12,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
Latvia_10,1,1,MATCHED,4711,CLASS,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",471,Retail sale in non-specialized stores,3de77d05ace5,4711
Latvia_11,1,1,MATCHED,4773,CLASS,Other retail sale of new goods in specialized stores,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",477,Retail sale of other goods in specialized stores,3de77d05ace5,4773
Latvia_13,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Latvia_14,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Italy_1,1,1,MATCHED,6120,CLASS,Wireless telecommunications activities,J,Information and communication,61,Telecommunications,612,Wireless telecommunications activities,3de77d05ace5,6120
Italy_3,1,1,MATCHED,85,DIVISION,Education,P,Education,85,Education,,,3de77d05ace5,85
Italy_4,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_9,1,1,MATCHED,O,SECTION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,,,,,3de77d05ace5,O
Italy_2,1,1,MATCHED,61,DIVISION,Telecommunications,J,Information and communication,61,Telecommunications,,,3de77d05ace5,61
Italy_12,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_14,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Italy_17,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_13,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_16,1,1,MATCHED,6120,CLASS,Wireless telecommunications activities,J,Information and communication,61,Telecommunications,612,Wireless telecommunications activities,3de77d05ace5,6120
Italy_18,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_15,1,1,MATCHED,6120,CLASS,Wireless telecommunications activities,J,Information and communication,61,Telecommunications,612,Wireless telecommunications activities,3de77d05ace5,6120
Italy_21,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_20,1,1,MATCHED,8510,CLASS,Pre-primary and primary education,P,Education,85,Education,851,Pre-primary and primary education,3de77d05ace5,8510
Italy_22,,0,UNRECOGNIZED,NOT_MENTIONED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_MENTIONED
Italy_24,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_25,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_29,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_31,1,1,MATCHED,8219,CLASS,"Photocopying, document preparation and other specialized office support activities",N,Administrative and support service activities,82,"Office administrative, office support and other business support activities",821,Office administrative and support activities,3de77d05ace5,8219
Italy_26,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_27,1,1,MATCHED,8510,CLASS,Pre-primary and primary education,P,Education,85,Education,851,Pre-primary and primary education,3de77d05ace5,8510
Italy_28,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_32,1,1,MATCHED,J,SECTION,Information and communication,J,Information and communication,,,,,3de77d05ace5,J
Italy_34,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Italy_37,1,1,MATCHED,E,SECTION,"Water supply; sewerage, waste management and remediation activities",E,"Water supply; sewerage, waste management and remediation activities",,,,,3de77d05ace5,E
Italy_36,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_38,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_40,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_43,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_42,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Italy_46,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Italy_48,1,1,MATCHED,8510,CLASS,Pre-primary and primary education,P,Education,85,Education,851,Pre-primary and primary education,3de77d05ace5,8510
Italy_45,1,1,MATCHED,61,DIVISION,Telecommunications,J,Information and communication,61,Telecommunications,,,3de77d05ace5,61
Italy_49,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_50,1,1,MATCHED,6202,CLASS,Computer consultancy and computer facilities management activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6202
Italy_47,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_51,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_53,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_54,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_56,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_57,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_59,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Italy_55,1,1,MATCHED,8620,CLASS,Medical and dental practice activities,Q,Human health and social work activities,86,Human health activities,862,Medical and dental practice activities,3de77d05ace5,8620
Italy_61,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_58,1,1,MATCHED,5221,CLASS,Service activities incidental to land transportation,H,Transportation and storage,52,Warehousing and support activities for transportation,522,Support activities for transportation,3de77d05ace5,5221
Italy_60,1,1,MATCHED,5610,CLASS,Restaurants and mobile food service activities,I,Accommodation and food service activities,56,Food and beverage service activities,561,Restaurants and mobile food service activities,3de77d05ace5,5610
Italy_62,1,1,MATCHED,84,DIVISION,Public administration and defence; compulsory social security,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,,,3de77d05ace5,84
Italy_63,1,1,MATCHED,8542,CLASS,Cultural education,P,Education,85,Education,854,Other education,3de77d05ace5,8542
Italy_64,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_65,1,1,MATCHED,61,DIVISION,Telecommunications,J,Information and communication,61,Telecommunications,,,3de77d05ace5,61
Italy_67,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_68,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_69,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_70,1,1,MATCHED,85,DIVISION,Education,P,Education,85,Education,,,3de77d05ace5,85
Italy_66,1,1,MATCHED,35,DIVISION,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",,,3de77d05ace5,35
Italy_71,1,1,MATCHED,6311,CLASS,"Data processing, hosting and related activities",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6311
Italy_72,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_73,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_74,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_76,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_75,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_77,1,1,MATCHED,68,DIVISION,Real estate activities,L,Real estate activities,68,Real estate activities,,,3de77d05ace5,68
Italy_79,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_78,1,1,MATCHED,5813,CLASS,"Publishing of newspapers, journals and periodicals",J,Information and communication,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",3de77d05ace5,5813
Italy_81,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Italy_80,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_82,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_84,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_86,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_87,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_90,1,1,MATCHED,62,DIVISION,"Computer programming, consultancy and related activities",J,Information and communication,62,"Computer programming, consultancy and related activities",,,3de77d05ace5,62
Italy_92,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_89,1,1,MATCHED,6312,CLASS,Web portals,J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6312
Italy_91,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Italy_88,1,1,MATCHED,5813,CLASS,"Publishing of newspapers, journals and periodicals",J,Information and communication,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",3de77d05ace5,5813
Italy_93,1,1,MATCHED,63,DIVISION,Information service activities,J,Information and communication,63,Information service activities,,,3de77d05ace5,63
Italy_94,1,1,MATCHED,8610,CLASS,Hospital activities,Q,Human health and social work activities,86,Human health activities,861,Hospital activities,3de77d05ace5,8610
Italy_96,1,1,MATCHED,641,GROUP,Monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,641
Italy_97,1,1,MATCHED,94,DIVISION,Activities of membership organizations,S,Other service activities,94,Activities of membership organizations,,,3de77d05ace5,94
Italy_99,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_98,1,1,MATCHED,8010,CLASS,Private security activities,N,Administrative and support service activities,80,Security and investigation activities,801,Private security activities,3de77d05ace5,8010
Italy_95,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_100,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_101,1,1,MATCHED,68,DIVISION,Real estate activities,L,Real estate activities,68,Real estate activities,,,3de77d05ace5,68
Italy_102,1,1,MATCHED,5510,CLASS,Short term accommodation activities,I,Accommodation and food service activities,55,Accommodation,551,Short term accommodation activities,3de77d05ace5,5510
Italy_106,1,1,MATCHED,6201,CLASS,Computer programming activities,J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,6201
Italy_105,1,1,MATCHED,90,DIVISION,"Creative, arts and entertainment activities",R,"Arts, entertainment and recreation",90,"Creative, arts and entertainment activities",,,3de77d05ace5,90
Italy_103,1,1,MATCHED,6419,CLASS,Other monetary intermediation,K,Financial and insurance activities,64,"Financial service activities, except insurance and pension funding",641,Monetary intermediation,3de77d05ace5,6419
Italy_104,1,1,MATCHED,36,DIVISION,"Water collection, treatment and supply",E,"Water supply; sewerage, waste management and remediation activities",36,"Water collection, treatment and supply",,,3de77d05ace5,36
Italy_108,1,1,MATCHED,4772,CLASS,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",477,Retail sale of other goods in specialized stores,3de77d05ace5,4772
Italy_107,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_109,1,1,MATCHED,61,DIVISION,Telecommunications,J,Information and communication,61,Telecommunications,,,3de77d05ace5,61
Italy_110,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_111,1,1,MATCHED,88,DIVISION,Social work activities without accommodation,Q,Human health and social work activities,88,Social work activities without accommodation,,,3de77d05ace5,88
Italy_113,1,1,MATCHED,85,DIVISION,Education,P,Education,85,Education,,,3de77d05ace5,85
Italy_112,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_114,1,1,MATCHED,6391,CLASS,News agency activities,J,Information and communication,63,Information service activities,639,Other information service activities,3de77d05ace5,6391
Italy_116,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_115,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_119,1,1,MATCHED,N,SECTION,Administrative and support service activities,N,Administrative and support service activities,,,,,3de77d05ace5,N
Italy_117,1,1,MATCHED,9311,CLASS,Operation of sports facilities,R,"Arts, entertainment and recreation",93,Sports activities and amusement and recreation activities,931,Sports activities,3de77d05ace5,9311
Italy_118,1,1,MATCHED,351,GROUP,"Electric power generation, transmission and distribution",D,"Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",351,"Electric power generation, transmission and distribution",3de77d05ace5,351
Italy_120,1,1,MATCHED,4711,CLASS,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,47,"Retail trade, except of motor vehicles and motorcycles",471,Retail sale in non-specialized stores,3de77d05ace5,4711
Italy_122,1,1,MATCHED,5229,CLASS,Other transportation support activities,H,Transportation and storage,52,Warehousing and support activities for transportation,522,Support activities for transportation,3de77d05ace5,5229
Italy_121,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_124,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_125,1,1,MATCHED,6312,CLASS,Web portals,J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,6312
Italy_123,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_126,1,1,MATCHED,86,DIVISION,Human health activities,Q,Human health and social work activities,86,Human health activities,,,3de77d05ace5,86
Italy_127,1,1,MATCHED,8411,CLASS,General public administration activities,O,Public administration and defence; compulsory social security,84,Public administration and defence; compulsory social security,841,Administration of the State and the economic and social policy of the community,3de77d05ace5,8411
Italy_131,1,1,MATCHED,J,SECTION,Information and communication,J,Information and communication,,,,,3de77d05ace5,J
Italy_130,1,1,MATCHED,5813,CLASS,"Publishing of newspapers, journals and periodicals",J,Information and communication,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",3de77d05ace5,5813
Italy_128,1,1,MATCHED,35,DIVISION,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply",35,"Electricity, gas, steam and air conditioning supply",,,3de77d05ace5,35
Italy_132,1,1,MATCHED,5813,CLASS,"Publishing of newspapers, journals and periodicals",J,Information and communication,58,Publishing activities,581,"Publishing of books, periodicals and other publishing activities",3de77d05ace5,5813
Italy_129,1,1,MATCHED,620,GROUP,"Computer programming, consultancy and related activities",J,Information and communication,62,"Computer programming, consultancy and related activities",620,"Computer programming, consultancy and related activities",3de77d05ace5,620
Italy_133,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_135,1,1,MATCHED,3100,CLASS,Manufacture of furniture,C,Manufacturing,31,Manufacture of furniture,310,Manufacture of furniture,3de77d05ace5,3100
Italy_139,,0,UNRECOGNIZED,NOT_DISCUSSED,UNKNOWN,,,,,,,,3de77d05ace5,NOT_DISCUSSED
Italy_138,,0,UNRECOGNIZED,STRING,UNKNOWN,,,,,,,,3de77d05ace5,STRING
Italy_134,1,1,MATCHED,6622,CLASS,Activities of insurance agents and brokers,K,Financial and insurance activities,66,Activities auxiliary to financial service and insurance activities,662,Activities auxiliary to insurance and pension funding,3de77d05ace5,6622
Italy_136,1,1,MATCHED,631,GROUP,"Data processing, hosting and related activities; web portals",J,Information and communication,63,Information service activities,631,"Data processing, hosting and related activities; web portals",3de77d05ace5,631
