community,members
2224,raw_q68_Appeal_upheld_overturning_a_2_000_fine_against_G_G_G_for_alleged_GDPR_Article_6_violation_due_to_insufficient_evidence_linking_the_defendant_to_the_dissemination_of_a_video_on_pacot_es_investigation_revealed_unreliable_IP_data_and_lack_of_proof_of_authorship
2225,raw_q68_BBVA_bank_employee_forged_complainant_s_signature_on_data_protection_consent_documents_for_commercial_purposes_and_profiling_AEPD_imposed_120_000_fine_for_violating_Article_6_1_GDPR_reduced_from_200_000_due_to_acknowledgment_and_payment
2226,raw_q68_BBVA_consulted_complainant_s_credit_data_without_valid_contract_DPA_found_Article_6_1_violation_due_to_lack_of_lawfulness_30_000_fine_reduced_to_18_000_after_voluntary_payment_and_responsibility_acknowledgment
2227,raw_q68_BBVA_disclosed_a_lawyer_s_private_address_to_their_client_during_a_claim_process_violating_GDPR_Articles_5_1_b_5_1_f_and_32_resulting_in_a_70_000_fine_for_negligence_and_inadequate_security_measures
2228,raw_q68_BODY_LINE_SRL_fined_10_000_EUR_for_posting_customer_audio_video_on_social_media_revealing_ethnic_origin_without_legal_basis_failing_to_delete_data_upon_request_and_inadequate_security_measures_for_surveillance_data_corrective_orders_issued_for_compliance_and_deletion
2229,raw_q68_Banca_Comercial_Rom_n_SA_fined_2_000_for_GDPR_violations_under_Articles_25_and_32_after_a_technical_error_caused_emails_with_personal_data_of_564_customers_to_be_sent_to_wrong_recipients_involving_financial_and_identity_data_DPA_found_inadequate_security_measures
2230,raw_q68_Banca_Transilvania_SA_fined_100_000_for_violating_GDPR_Articles_5_f_and_32_after_employee_mishandling_led_to_public_disclosure_of_client_and_employee_personal_data_via_email_and_social_media_causing_moral_and_economic_harm
2231,raw_q68_Banco_Santander_disclosed_a_claimant_s_mortgage_loan_amortization_table_to_a_third_party_due_to_human_error_violating_GDPR_Articles_5_1_f_and_32_1_The_Spanish_DPA_imposed_fines_totaling_70_000_and_a_compliance_order_citing_negligence_and_the_entity_s_large_scale_with_no_fine_reductions_due_to_late_responsibility_acknowledgment
2232,raw_q68_Bankia_now_CaixaBank_conditioned_consent_for_marketing_data_processing_on_exemption_from_account_fees_for_ON_product_customers_violating_GDPR_Article_7_4_Spanish_DPA_imposed_2_1M_fine_for_non_free_consent_and_pre_ticked_boxes_during_online_registrations_considering_intentionality_large_scale_and_entity_cooperation
2233,raw_q68_CDON_AB_violated_GDPR_Articles_5_1c_12_2_and_12_6_by_imposing_burdensome_identity_verification_for_erasure_requests_requiring_excessive_personal_data_without_justification_IMY_issued_a_reprimand_due_to_minor_violation_cooperation_and_improved_routines
2234,raw_q68_CNPD_initially_ordered_Worldcoin_Foundation_to_halt_biometric_data_collection_in_Portugal_for_90_days_Worldcoin_appealed_claiming_BayLDA_was_lead_authority_due_to_its_German_establishment_ZipCode_GmbH_CNPD_determined_ZipCode_was_Worldcoin_s_sole_EU_establishment_making_BayLDA_the_lead_supervisory_authority_under_GDPR_one_stop_shop_mechanism_CNPD_referred_the_case_to_BayLDA_and_revoked_its_prior_order
2235,raw_q24_100000_TO_100000
2236,raw_q16_YES
2237,raw_q23_NO_RISK_ONLY
2238,q36_text_The_DPA_found_violations_of_data_minimisation_under_Article_5_1_c_due_to_unnecessary_publication_of_sensitive_personal_data_beyond_names_of_public_figures_and_security_under_Article_32_due_to_inadequate_redaction_allowing_easy_access_to_hidden_data_Freedom_of_expression_prevailed_for_publishing_names_of_high_ranking_bank_officials_in_a_public_interest_story_on_bank_recapitalization_but_not_for_other_data
2239,q36_text_The_decision_did_not_find_violations_of_GDPR_Articles_5_or_6_as_the_website_in_question_no_longer_existed_and_redirected_to_a_different_entity_s_site_making_the_original_complaint_moot
2240,q36_text_The_decision_clarifies_that_data_on_self_employed_persons_in_culture_related_to_their_registered_activity_are_not_protected_as_personal_data_under_GDPR_as_they_are_considered_business_entity_data_under_Slovenian_law
2241,q36_text_The_decision_addresses_violation_of_Article_5_1_b_GDPR_due_to_retention_of_personal_data_for_over_16_years_after_the_data_subject_ceased_being_a_client_without_any_ongoing_products_or_services_Bankia_blocked_the_data_but_failed_to_delete_it_as_required_under_storage_limitation_and_purpose_limitation_principles
2242,q36_text_The_decision_addresses_a_violation_of_the_right_to_object_under_Article_21_GDPR_in_the_context_of_unsolicited_commercial_calls_No_detailed_analysis_of_Article_5_or_6_principles_is_provided_beyond_linking_to_legitimate_interests_for_marketing
2243,q36_text_The_decision_addresses_a_violation_of_Article_21_of_the_LSSI_for_sending_commercial_communications_without_consent_not_GDPR_Articles_5_or_6
2244,q36_text_The_DPA_opined_that_legal_obligation_under_Article_6_1_c_is_the_appropriate_basis_for_processing_student_data_in_distance_education_not_consent_and_emphasized_adherence_to_data_minimization_and_security_principles
2245,q36_text_The_DPA_found_violations_of_Article_5_1_a_due_to_unfairness_in_monitoring_employees_changing_in_alarm_stands_without_masking_and_Article_5_1_c_due_to_excessive_24_7_real_time_surveillance_beyond_necessary_purposes_Legal_basis_under_Article_6_1_e_was_upheld_for_public_task_necessity
2246,q36_text_The_decision_discusses_processing_under_Article_6_1_c_for_legal_obligations_under_anti_money_laundering_laws_noting_the_bank_must_have_appropriate_procedures_but_IP_is_not_competent_to_assess_adequacy
2247,q36_text_The_DPA_found_the_defendant_violated_Article_35_by_failing_to_conduct_a_data_protection_impact_assessment_for_biometric_data_processing_The_legal_basis_of_consent_was_invalid_due_to_power_imbalance_in_employment_context
2248,q36_text_The_DPA_found_that_the_video_surveillance_camera_installation_complied_with_data_minimization_principles_capturing_only_necessary_public_space_for_security_purposes_and_no_violation_of_Article_5_was_established
2249,q36_text_The_DPA_found_that_the_defendant_was_legitimized_to_process_the_claimant_s_personal_data_based_on_contract_execution_vehicle_purchase_not_consent_and_therefore_no_violation_of_Article_6_occurred
2250,q36_text_The_DPA_found_that_the_defendant_had_valid_consent_through_a_signed_image_rights_assignment_contract_thus_no_violation_of_Article_6_occurred
2251,q36_text_The_DPA_found_that_Nordea_complied_with_the_complainant_s_access_request_by_providing_a_transcript_and_edited_audio_file_satisfying_Article_15_requirements_without_violating_data_subject_rights
2252,q36_text_The_DPA_found_no_violations_of_Article_5_principles_The_defendant_relied_on_public_task_as_legal_basis_for_traffic_surveillance_drone_operations
2253,q36_text_The_decision_discusses_potential_violation_of_Article_5_1_c_data_minimisation_due_to_alleged_video_surveillance_cameras_oriented_towards_complainant_s_home_but_the_procedure_was_archived_as_the_responsible_party_could_not_be_identified
2254,q36_text_The_decision_does_not_discuss_GDPR_Article_5_or_6_principles_it_focuses_on_LSSI_cookie_consent_violations
2255,q36_text_The_DPA_found_no_violation_of_Article_5_1_c_data_minimization_as_the_cameras_were_limited_to_private_property_with_proper_signage_and_no_evidence_of_public_space_capture
2256,q36_text_The_decision_found_a_violation_of_Article_12_3_regarding_timely_response_to_access_requests_but_did_not_discuss_Article_5_principles_or_Article_6_legal_bases
2257,q36_text_The_decision_provides_a_non_binding_opinion_clarifying_the_right_to_access_personal_data_under_Article_15_GDPR_and_applicable_Slovenian_laws_particularly_for_police_data_processing_under_national_security_exemptions
2258,q36_text_The_decision_identifies_violations_of_Article_5_1_f_on_integrity_and_confidentiality_and_Article_5_2_on_accountability_due_to_failure_to_implement_appropriate_technical_and_organizational_measures_Processing_was_based_on_contract_performance_and_legal_obligations_under_telecommunications_law_with_no_issues_in_legal_basis_but_deficiencies_in_security_implementation_leading_to_a_data_breach
2259,q36_text_The_decision_found_violations_of_Article_32_1_b_32_2_and_32_4_GDPR_due_to_inadequate_technical_and_organizational_measures_ensuring_employees_process_data_only_on_instructions_leading_to_unauthorized_access_and_disclosure_of_five_passengers_data_No_Article_5_or_6_principles_beyond_security_were_discussed
2260,q36_text_The_decision_found_no_violation_of_Article_5_or_6_principles_as_the_defendant_ultimately_complied_with_the_erasure_request_during_proceedings
2261,q36_text_The_decision_found_no_GDPR_violations_it_focused_on_LSSI_compliance_regarding_cookies_concluding_the_website_s_cookie_policy_was_not_contradictory_to_Article_22_2_LSSI_after_verification
2262,q36_text_The_decision_found_a_violation_of_Article_5_1_f_security_principle_due_to_inadequate_technical_and_organizational_measures_No_Article_6_legal_bases_were_discussed
2263,q36_text_The_decision_focuses_solely_on_violations_of_cooperation_obligations_with_the_DPA_under_Articles_31_and_58_1_e_of_the_GDPR_not_on_substantive_processing_principles_or_legal_bases
2264,q36_text_The_decision_does_not_discuss_GDPR_Article_5_or_6_principles_it_focuses_solely_on_LSSI_violations_regarding_cookie_consent_mechanisms
2265,q36_text_The_decision_focuses_on_violation_of_Article_37_GDPR_regarding_DPO_appointment_not_on_Articles_5_or_6_principles_or_legal_bases
2266,q36_text_The_decision_focuses_on_jurisdictional_issues_regarding_cross_border_processing_and_the_identification_of_the_lead_supervisory_authority_not_substantive_Article_5_6_violations
2267,q36_text_The_decision_focuses_on_LSSI_violations_regarding_commercial_communications_not_GDPR_Article_5_6_principles
2268,q36_text_The_decision_finds_a_violation_of_Article_6_1_a_GDPR_due_to_processing_personal_data_without_consent_or_any_lawful_basis_No_other_Article_5_or_6_principles_are_explicitly_discussed_beyond_lawfulness
2269,q36_text_The_decision_finds_a_violation_of_Article_37_GDPR_due_to_failure_to_appoint_a_DPO_as_required_for_public_authorities_No_other_Article_5_or_6_principles_are_discussed
2270,q36_text_The_decision_does_not_discuss_GDPR_Article_5_or_6_violations_focusing_instead_on_Spanish_LSSI_cookie_law_violations_regarding_inadequate_cookie_banner_information_and_lack_of_rejection_mechanism
2271,q36_text_The_DPA_found_no_violation_of_Article_6_as_Niantic_obtained_consent_through_pop_up_windows_and_provided_accessible_privacy_policies_and_terms_of_service
2272,q36_text_The_DPA_found_no_violation_of_Article_5_principles_Regarding_Article_6_the_defendant_relied_on_legitimate_interests_and_the_balancing_test_concluded_that_legitimate_interests_prevailed_over_the_data_subject_s_rights_due_to_the_public_interest_in_accessing_professional_information
2273,q36_text_The_defendant_disclosed_personal_and_health_data_of_a_former_employee_to_a_third_party_without_a_legal_basis_violating_principles_of_lawfulness_purpose_limitation_security_and_accountability
2274,q36_text_TYPE_The_defendant_failed_to_properly_respond_to_a_data_subject_s_access_request_regarding_recordings_from_a_job_selection_process_violating_Article_15_GDPR_by_not_providing_the_data_or_a_valid_refusal
2275,q36_text_TYPE_Violation_of_Article_12_3_for_failing_to_respond_timely_to_data_subject_s_erasure_request_under_Article_17_No_other_Article_5_or_6_principles_discussed
2276,q36_text_TYPE_Unauthorized_disclosure_of_personal_data_by_publishing_termination_decisions_online_without_legal_basis_Violation_of_lawfulness_fairness_transparency_security_and_accountability_principles
2277,q36_text_TYPE_The_defendant_violated_Articles_5_1_f_and_32_1_by_sending_sensitive_health_data_unencrypted_via_email_and_storing_it_in_Outlook_failing_to_implement_appropriate_technical_and_organizational_security_measures
2278,q36_text_TYPE_The_defendant_violated_Article_25_1_and_Article_32_1_b_d_and_2_by_failing_to_implement_adequate_technical_and_organizational_measures_for_data_security_leading_to_unauthorized_disclosure_of_personal_data
2279,q36_text_TYPE_The_defendant_violated_Article_12_and_15_by_failing_to_provide_complete_access_to_personal_data_and_necessary_information_and_not_facilitating_the_exercise_of_data_subject_rights
2280,q36_text_TYPE_The_defendant_processed_inaccurate_personal_data_by_associating_a_personal_shipment_with_a_company_account_issuing_an_invoice_to_the_company_containing_the_claimant_s_personal_data_violating_Article_5_1_d_accuracy_principle
2281,q36_text_TYPE_The_defendant_failed_to_properly_define_its_role_as_a_joint_controller_with_service_users_violating_accountability_principles_under_Article_5_2_GDPR_by_not_establishing_a_transparent_agreement_as_required_by_Article_26
2282,q36_text_TYPE_Violation_of_Article_32_due_to_inadequate_technical_and_organizational_measures_for_security_leading_to_unauthorized_access_and_data_deletion_from_a_cyber_attack
2283,q36_text_TYPE_The_controller_violated_Article_32_by_failing_to_implement_adequate_technical_and_organizational_measures_leading_to_unauthorized_disclosure_and_access_to_personal_data_including_special_category_health_data
2284,q36_text_TYPE_The_DPA_found_the_defendant_violated_Article_6_GDPR_by_processing_employee_images_without_a_legal_basis_The_installation_of_a_video_surveillance_camera_in_a_staff_rest_area_was_deemed_disproportionate_and_violated_the_prohibition_in_Article_89_2_LOPDGDD
2285,q36_text_TYPE_STRING_The_defendant_stated_incorrect_legal_basis_consent_on_its_website_while_actually_relying_on_contract_or_legitimate_interests_violating_Article_13_1_c_transparency_obligation
2286,q36_text_TYPE_STRING_Saga_sent_28_5_million_unsolicited_marketing_messages_without_valid_consent_violating_Article_5_1_a_lawfulness_principle
2287,q36_text_TYPE_STRING
2288,q36_text_TYPE_KRY_violated_Article_5_1_f_and_2_and_Article_32_1_and_2_by_failing_to_conduct_adequate_needs_and_risk_analyses_and_not_restricting_user_access_permissions_to_only_what_is_necessary_for_healthcare_tasks_lacking_appropriate_security_measures_and_accountability
2289,q36_text_TYPE_Violation_of_Article_13_1_a_GDPR_for_not_displaying_operator_identity_information_on_website_Violation_of_national_law_for_installing_cookies_without_consent
2290,q36_text_TYPE_Violation_of_Article_32_4_due_to_inadequate_security_measures_leading_to_unauthorized_data_disclosure_violation_of_Article_34_for_failing_to_notify_data_subjects_of_the_breach
2291,q36_text_The_DPA_found_no_violation_of_Article_13_as_the_defendant_provided_adequate_information_to_employees_about_the_fingerprint_system_implementation_including_purpose_legal_basis_and_data_protection_details_before_data_collection
2292,q36_text_The_DPA_found_no_GDPR_violation_as_the_processing_fell_under_the_household_exemption_Article_2_2_c_being_exclusively_personal_domestic_activity_by_a_natural_person
2293,q36_text_The_DPA_found_no_processing_of_personal_data_occurred_as_temperature_measurements_were_not_linked_to_identified_or_identifiable_persons_thus_no_GDPR_principles_were_violated
2294,q36_text_The_DPA_found_no_evidence_of_infringement_RAE_ceased_Google_Analytics_use_promptly_after_Schrems_II_and_claimed_public_interest_legal_basis_under_Article_6_1_e
2295,q36_text_The_DPA_found_no_evidence_of_coercion_or_unlawful_processing_data_collection_was_voluntary_informed_and_based_on_consent_and_legal_obligations_for_public_health_purposes
2296,q36_text_The_DPA_found_no_GDPR_violations_as_the_controller_had_adequate_security_measures_promptly_notified_the_breach_and_took_appropriate_mitigating_actions_The_breach_resulted_from_human_error_by_a_processor_s_employee
2297,q36_text_The_DPA_found_no_GDPR_violations_as_the_claimant_s_access_request_was_deemed_excessive_and_abusive_under_Article_12_5_with_the_defendant_properly_requesting_specification_of_the_request
2298,q36_text_The_DPA_found_no_GDPR_violation_concluding_that_taking_a_photograph_of_an_ID_with_an_official_police_mobile_phone_during_COVID_19_perimeter_control_complied_with_Article_32_security_measures_and_was_justified_under_public_security_laws
2299,q36_text_The_DPA_expressed_concerns_about_whether_the_planned_data_processing_involves_personal_data_rather_than_anonymized_data_emphasizing_the_need_for_a_proper_legal_basis_if_personal_data_is_processed_and_highlighted_risks_related_to_electronic_communications_and_location_data_anonymization
2300,q36_text_TYPE_Violation_of_Article_83_5_e_for_failure_to_communicate_requested_information_to_the_DPA_no_specific_Article_5_or_6_principles_discussed
2301,q36_text_The_DPA_assessed_international_tax_treaties_for_GDPR_compliance_finding_they_lack_necessary_safeguards_for_data_transfers_to_third_countries_like_the_US_particularly_under_Article_46_requirements
2302,q36_text_The_Council_failed_to_respond_to_251_out_of_511_subject_access_requests_within_statutory_deadlines_violating_Articles_12_3_15_1_and_15_3_of_the_UK_GDPR
2303,q36_text_The_City_Council_processed_personal_data_without_a_legal_basis_under_Article_6_GDPR_by_communicating_a_third_party_s_debt_to_the_claimant_and_requesting_his_data_from_INSS_failing_to_verify_the_marital_property_regime_beforehand
2304,q36_text_The_City_Council_failed_to_implement_adequate_security_measures_to_prevent_unauthorized_access_to_municipal_registry_data_by_a_council_member_violating_Article_5_1_f_GDPR_The_case_was_archived_due_to_statute_of_limitations
2305,q36_text_The_Cabinet_Office_violated_Article_5_1_f_by_failing_to_ensure_appropriate_security_of_personal_data_and_Article_32_1_by_lacking_appropriate_technical_and_organizational_measures_for_the_2020_New_Year_Honours_List_processing
2306,q36_text_TYPE_Violation_of_lawful_processing_and_security_principles_no_valid_consent_obtained_for_filming_and_posting_patient_data_online
2307,q36_text_The_decision_provides_a_non_binding_opinion_on_drone_use_jurisdiction_clarifying_the_Information_Commissioner_s_role_in_monitoring_data_protection_compliance_and_impact_assessments_with_no_findings_of_violations
2308,q36_text_The_defendant_disclosed_personal_data_including_ethnic_origin_without_legal_basis_and_failed_to_implement_adequate_security_measures_for_video_surveillance_data
2309,q36_text_TYPE_CAIXABANK_violated_transparency_by_providing_non_uniform_vague_information_on_data_categories_purposes_and_legal_bases_consents_were_invalid_due_to_lack_of_specificity_freedom_and_informed_nature_legitimate_interests_lacked_proper_balancing_and_justification
2310,q36_text_The_defendant_violated_Article_5_1_f_and_Article_32_1_by_failing_to_ensure_adequate_security_of_personal_data_including_protection_against_unauthorized_access_across_multiple_subsystems_of_the_School_Platform
2311,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_ensure_confidentiality_resulting_in_unauthorized_disclosure_of_complainant_s_personal_data_name_address_phone_number_on_a_package_label_delivered_to_a_third_party
2312,q36_text_The_defendant_violated_Article_5_1_c_GDPR_by_publishing_an_individual_s_image_and_voice_without_anonymization_which_was_deemed_unnecessary_for_the_journalistic_purpose_The_DPA_found_the_processing_excessive_and_not_justified_by_legitimate_interests_balancing
2313,q36_text_The_defendant_violated_Article_5_1_c_GDPR_by_collecting_excessive_personal_data_photocopy_of_ID_beyond_what_was_necessary_for_age_verification_They_also_violated_Article_13_GDPR_by_providing_outdated_privacy_information_and_insufficient_details_about_data_processing
2314,q36_text_The_defendant_violated_Article_5_1_a_GDPR_by_using_dark_patterns_overloading_and_hiding_in_cookie_consent_interfaces_making_consent_not_freely_given_specific_or_informed_They_also_violated_Article_13_GDPR_by_failing_to_provide_clear_information_on_purposes_legal_bases_legitimate_interests_of_third_parties_and_international_data_transfers_in_their_privacy_policy
2315,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_implement_appropriate_technical_and_organizational_measures_to_ensure_security_and_confidentiality_leading_to_a_cyberattack_breach_exposing_health_data_of_2_622_patients
2316,q36_text_The_defendant_violated_Article_5_1_f_security_principle_by_disclosing_land_register_numbers_No_lawful_basis_under_Article_6_was_established_for_this_processing
2317,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_implement_adequate_security_measures_leading_to_unauthorized_access_and_data_breach_affecting_40_individuals
2318,q36_text_The_defendant_violated_Article_5_1_f_integrity_and_confidentiality_by_publicly_displaying_the_claimant_s_personal_data_name_surname_and_debt_amount_on_a_community_notice_board_without_adequate_security_measures
2319,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_ensure_appropriate_security_of_personal_data_including_lack_of_multi_factor_authentication_inadequate_patch_management_and_failure_to_encrypt_data_which_rendered_systems_vulnerable_to_a_ransomware_attack
2320,q36_text_The_defendant_violated_Article_5_security_and_accountability_principles_by_failing_to_properly_respond_to_data_subject_access_requests_within_the_required_timeframe_and_not_cooperating_fully_with_the_DPA_investigation
2321,q36_text_The_defendant_violated_Article_32_1_GDPR_by_failing_to_implement_adequate_technical_and_organizational_security_measures_leading_to_unauthorized_access_to_personal_data_The_breach_involved_external_cyberattack_and_inadequate_protection_of_customer_bank_card_information
2322,q36_text_The_defendant_violated_Article_32_1_GDPR_by_failing_to_implement_adequate_security_measures_resulting_in_the_abandonment_of_confidential_medical_data_of_workers_in_a_public_area_compromising_data_integrity_and_confidentiality
2323,q36_text_The_defendant_violated_Article_32_1_GDPR_by_failing_to_implement_adequate_security_measures_leading_to_an_incident_where_data_of_one_daughter_was_provided_when_information_about_another_daughter_was_requested_without_proper_identity_verification
2324,q36_text_The_defendant_violated_Article_32_1_GDPR_by_failing_to_implement_appropriate_security_measures_for_its_merge_customer_process_allowing_unauthorized_access_to_purchase_and_return_history_through_publicly_available_information
2325,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_sending_emails_without_using_blind_copy_disseminating_recipients_email_addresses_and_sometimes_names_surnames_failing_to_ensure_confidentiality
2326,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_disclosing_a_claimant_s_loan_amortization_table_to_a_third_party_breaching_confidentiality_No_Article_6_legal_basis_was_discussed_as_the_processing_was_unauthorized
2327,q36_text_The_defendant_violated_Article_32_by_failing_to_implement_adequate_technical_and_organizational_security_measures_leading_to_unauthorized_disclosure_of_personal_data_via_email
2328,q36_text_The_defendant_violated_accountability_principles_by_failing_to_respond_to_the_DPA_s_information_requests_and_not_complying_with_a_remedial_order
2329,q36_text_The_entity_violated_Article_5_1_c_GDPR_by_scanning_clients_full_DNI_documents_during_check_in_as_this_exceeds_the_data_minimization_principle_Only_specific_data_fields_from_the_ID_are_required_for_legal_registration_obligations_under_Organic_Law_4_2015
2330,q36_text_The_defendant_s_video_surveillance_was_found_to_violate_purpose_limitation_and_data_minimization_principles_as_cameras_recorded_beyond_necessary_areas_like_the_entire_bar_and_terrace_not_just_specific_high_value_property_areas_and_lacked_a_valid_legal_basis_under_legitimate_interests_for_such_broad_recording
2331,q36_text_The_defendant_s_privacy_policies_were_found_compliant_with_Article_13_GDPR_but_cookie_consent_mechanisms_were_inadequate_lacking_clear_information_and_granular_control_options
2332,q36_text_The_defendant_s_camera_system_disproportionately_captured_images_of_public_space_violating_the_data_minimization_principle_under_Article_5_1_c_GDPR_by_collecting_excessive_personal_data_without_justification
2333,q36_text_The_defendant_was_accused_of_processing_personal_data_image_and_voice_without_consent_but_the_appeal_was_upheld_due_to_lack_of_evidence_proving_authorship_of_the_alleged_violation
2334,q36_text_The_defendant_violated_the_security_principle_under_Article_5_1_f_by_failing_to_prevent_unauthorized_access_to_personal_data_through_a_technical_failure_in_their_customer_portal
2335,q36_text_The_defendant_violated_GDPR_Article_28_by_subcontracting_without_proper_contracts_and_authorizations_failing_to_ensure_sufficient_guarantees_for_data_processing_security_and_accountability
2336,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_ensure_adequate_security_leading_to_a_confidentiality_breach_and_violated_Article_32_GDPR_by_not_implementing_appropriate_technical_and_organizational_security_measures_to_prevent_the_cyberattack
2337,q36_text_The_defendant_violated_Articles_12_and_13_by_failing_to_provide_complete_and_accurate_information_about_data_processing_and_imposing_excessive_conditions_for_exercising_data_subject_rights
2338,q36_text_The_defendant_violated_Article_5_1_f_by_failing_to_ensure_confidentiality_of_health_data_body_temperature_as_the_measurement_result_was_visible_to_unauthorized_third_parties_in_the_clinic_s_waiting_reception_area_The_processing_was_based_on_legal_obligation_for_health_safety_during_COVID_19
2339,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_sending_individualized_heating_consumption_data_to_all_community_members_via_email_resulting_in_loss_of_confidentiality_The_claimed_legitimate_interest_basis_was_insufficient_as_data_subject_interests_prevailed
2340,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_publicly_displaying_meeting_minutes_containing_personal_data_names_surnames_addresses_debts_in_a_building_display_case_for_an_excessive_duration_failing_to_ensure_adequate_security_and_confidentiality
2341,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_improperly_disseminating_personal_data_through_WhatsApp_breaching_confidentiality_They_also_violated_Article_32_GDPR_by_lacking_adequate_security_measures_to_prevent_unauthorized_disclosure
2342,q36_text_The_defendant_violated_Article_5_1_f_GDPR_by_failing_to_ensure_adequate_security_of_personal_data_leading_to_unauthorized_exposure_of_identification_data_through_a_programming_error_in_the_vaccination_appointment_system
2343,q36_text_The_defendant_violated_Article_32_security_obligations_by_failing_to_ensure_employees_only_process_personal_data_at_the_operator_s_request_leading_to_unauthorized_access_and_disclosure
2344,q36_text_The_defendant_violated_Article_32_by_failing_to_implement_adequate_technical_and_organizational_measures_to_ensure_security_leading_to_unauthorized_disclosure_of_personal_data_via_WhatsApp
2345,q36_text_The_defendant_failed_to_adapt_its_privacy_policy_to_GDPR_requirements_and_lacked_a_Data_Protection_Officer_until_after_the_procedure_began_violating_transparency_and_accountability_principles
2346,q36_text_The_defendant_failed_to_provide_complete_information_required_by_Article_13_GDPR_at_the_time_of_data_collection_and_did_not_implement_appropriate_technical_and_organizational_measures_to_ensure_confidentiality_violating_Articles_13_and_25_1_GDPR
2347,q36_text_The_defendant_failed_to_respond_to_information_requests_from_the_Spanish_DPA_violating_Article_58_1_GDPR_investigative_powers_not_Articles_5_or_6
2348,q36_text_The_defendant_failed_to_respond_to_information_requests_from_the_DPA_violating_Article_58_1_GDPR_investigative_powers
2349,q36_text_The_defendant_failed_to_respond_to_a_data_subject_s_erasure_request_within_the_required_timeframe_and_did_not_provide_proof_of_addressing_the_request_properly
2350,q36_text_The_defendant_failed_to_respond_to_a_data_subject_s_access_request_within_the_legal_timeframe_but_eventually_provided_the_required_information_during_the_procedure_restoring_the_data_subject_s_rights
2351,q36_text_The_defendant_failed_to_provide_requested_information_to_the_DPA_during_an_investigation_into_unsolicited_SMS_complaints_violating_Article_58_1_obligations
2352,q36_text_The_defendant_failed_to_provide_necessary_information_to_the_claimant_when_scanning_their_ID_for_money_laundering_compliance_violating_Article_13_GDPR_by_not_informing_about_the_legal_basis_and_purpose_immediately
2353,q36_text_The_defendant_failed_to_provide_a_complete_and_adequate_response_to_the_data_subject_s_access_request_violating_the_accountability_principle_under_Article_5_2_GDPR_by_not_fully_complying_with_Article_15_access_rights
2354,q36_text_The_defendant_implemented_a_biometric_fingerprint_system_for_stadium_access_without_necessity_proportionality_or_valid_legal_basis_violating_data_minimization_and_processing_principles_Failures_included_lack_of_prior_DPIA_invalid_consent_and_inadequate_information_to_data_subjects
2355,q36_text_The_defendant_failed_to_implement_appropriate_technical_and_organizational_measures_to_ensure_security_of_sensitive_personal_data_sent_via_email_violating_Article_32_1_GDPR
2356,q36_text_The_defendant_failed_to_implement_adequate_security_measures_using_HTTP_instead_of_HTTPS_and_did_not_provide_proper_privacy_information_compliant_with_GDPR_Article_13_referencing_outdated_legislation
2357,q36_text_The_defendant_failed_to_cooperate_with_the_DPA_by_not_providing_requested_information_necessary_for_the_investigation_violating_accountability_under_Article_5
2358,q36_text_The_defendant_failed_to_conduct_required_needs_and_risk_analyses_before_granting_access_permissions_and_did_not_restrict_user_access_to_only_what_was_necessary_for_their_duties_violating_security_and_accountability_principles_under_Article_5_1_f_and_5_2
2359,q36_text_The_defendant_failed_to_comply_with_a_prior_resolution_ordering_compliance_with_a_data_subject_s_access_right_constituting_a_violation_of_Article_58_2_GDPR
2360,q36_text_The_defendant_failed_to_adequately_inform_workers_about_the_processing_of_biometric_data_for_time_control_violating_Article_13_GDPR_by_not_providing_complete_clear_and_concise_information_at_the_time_of_data_collection
2361,q36_text_The_defendant_failed_to_respond_to_repeated_access_requests_and_did_not_cooperate_with_the_DPA_s_investigation_violating_accountability_principles_under_Article_5
2362,q36_text_The_defendant_installed_a_video_surveillance_camera_capturing_images_of_third_parties_in_a_transit_area_without_justification_violating_the_data_minimization_principle_under_Article_5_1_c_GDPR_by_processing_data_beyond_what_is_necessary
2363,q36_text_The_defendant_violated_Article_32_GDPR_by_failing_to_implement_adequate_security_measures_leading_to_unauthorized_access_and_transmission_of_health_data_via_email_scanning_and_sharing
2364,q36_text_The_defendant_processed_personal_data_without_proper_identity_verification_and_adequate_security_measures_violating_Article_32_2_GDPR_by_failing_to_implement_appropriate_technical_and_organizational_measures
2365,q36_text_The_defendant_violated_Article_15_GDPR_by_failing_to_respond_to_a_data_subject_access_request_within_the_required_timeframe_taking_nearly_four_months_instead_of_one_month_to_provide_the_requested_information
2366,q36_text_The_defendant_responded_to_the_data_subject_s_access_and_deletion_requests_providing_information_and_reasonably_denying_deletion_based_on_an_outstanding_enforceable_debt_thus_no_violations_of_Articles_5_or_6_were_found
